iter	RMSE
0	72.44259256
1	70.65990594
2	69.13867798
3	68.2647021
4	67.52441472
5	66.78102142
6	66.02095921
7	64.9912567
8	63.84621301
9	63.26704877
10	62.52260511
11	61.62584034
12	60.97324338
13	60.57294226
14	60.18413059
15	59.78350296
16	59.5399052
17	58.82967028
18	58.49667656
19	58.12114801
20	57.55560667
21	57.31010802
22	56.70523243
23	56.51418995
24	56.08525979
25	55.45931608
26	54.95242948
27	54.45845077
28	53.87654532
29	53.51538878
30	53.31892358
31	53.07852136
32	52.57845501
33	52.44139093
34	52.18242038
35	51.99490732
36	51.66944995
37	51.51882921
38	51.07609446
39	50.81582566
40	50.40880418
41	50.16717992
42	50.04464285
43	49.84339144
44	49.55324792
45	49.20150546
46	48.99836935
47	48.91402715
48	48.57440859
49	48.22695003
50	48.08860955
51	47.98252258
52	47.77511039
53	47.70233965
54	47.14353451
55	46.98752724
56	46.77998576
57	46.73868926
58	46.59925597
59	46.56708957
60	46.35170265
61	46.16874941
62	46.13458317
63	46.02511594
64	45.8854538
65	45.61601564
66	45.49077635
67	45.29372602
68	45.20212496
69	45.10092016
70	44.81781829
71	44.63322847
72	44.34841117
73	44.1740303
74	43.81584062
75	43.70116703
76	43.42936494
77	43.32133249
78	43.21711487
79	42.96762423
80	42.73510864
81	42.30531069
82	42.08092014
83	41.88898899
84	41.81215824
85	41.68710936
86	41.68224481
87	41.37175191
88	41.2457954
89	41.10068816
90	40.92823399
91	40.78840385
92	40.6734769
93	40.52378202
94	40.31812159
95	40.09568548
96	40.00356194
97	39.87467143
98	39.73373275
99	39.44588294
100	39.20454935
101	39.01680622
102	38.87081244
103	38.74390116
104	38.63114672
105	38.47255476
106	38.20969447
107	38.04184421
108	37.84790877
109	37.67442548
110	37.48909044
111	37.31965539
112	37.08640473
113	36.94663057
114	36.80548152
115	36.66852755
116	36.57527623
117	36.506621
118	36.3303954
119	36.19947371
120	36.03489286
121	35.91963522
122	35.79870417
123	35.63193189
124	35.52949101
125	35.41035581
126	35.27794567
127	35.10600939
128	34.91792858
129	34.83775884
130	34.73457518
131	34.54050856
132	34.38875855
133	34.27347675
134	34.06877658
135	34.00987286
136	33.89206599
137	33.74492077
138	33.62790125
139	33.52126596
140	33.40024986
141	33.24422081
142	33.1324631
143	33.02085176
144	32.87507363
145	32.78832345
146	32.54473464
147	32.43853155
148	32.27460629
149	32.15488912

