iter	Passed	Remaining
0	91	13633
1	219	16221
2	332	16286
3	434	15859
4	475	13795
5	594	14262
6	719	14697
7	838	14887
8	971	15223
9	1116	15625
10	1234	15595
11	1344	15456
12	1460	15389
13	1573	15282
14	1693	15240
15	1817	15219
16	1908	14932
17	2033	14913
18	2131	14696
19	2258	14680
20	2372	14575
21	2477	14412
22	2560	14139
23	2667	14004
24	2787	13935
25	2900	13833
26	2998	13661
27	3099	13505
28	3183	13284
29	3295	13183
30	3379	12973
31	3452	12732
32	3542	12559
33	3659	12484
34	3755	12338
35	3839	12159
36	3921	11975
37	4001	11793
38	4089	11640
39	4171	11470
40	4276	11369
41	4359	11209
42	4433	11032
43	4529	10911
44	4608	10753
45	4706	10641
46	4784	10486
47	4863	10335
48	4964	10232
49	5055	10111
50	5148	9993
51	5272	9937
52	5370	9829
53	5481	9744
54	5592	9660
55	5689	9550
56	5796	9456
57	5874	9317
58	5962	9196
59	6052	9079
60	6133	8948
61	6219	8827
62	6300	8700
63	6400	8600
64	6491	8489
65	6575	8368
66	6660	8250
67	6738	8125
68	6842	8032
69	6929	7918
70	7017	7807
71	7106	7698
72	7180	7573
73	7264	7460
74	7344	7344
75	7426	7231
76	7508	7118
77	7579	6996
78	7642	6868
79	7725	6759
80	7792	6637
81	7865	6522
82	7949	6417
83	8045	6321
84	8110	6202
85	8184	6090
86	8190	5930
87	8260	5819
88	8338	5715
89	8416	5611
90	8490	5504
91	8574	5405
92	8648	5300
93	8712	5190
94	8784	5085
95	8862	4985
96	8941	4885
97	9014	4783
98	9095	4685
99	9165	4582
100	9241	4483
101	9288	4371
102	9333	4258
103	9386	4151
104	9433	4042
105	9485	3937
106	9532	3830
107	9584	3727
108	9624	3620
109	9673	3517
110	9722	3416
111	9770	3315
112	9820	3215
113	9859	3113
114	9892	3010
115	9931	2911
116	9973	2813
117	10025	2718
118	10067	2622
119	10105	2526
120	10140	2430
121	10180	2336
122	10216	2242
123	10248	2148
124	10285	2057
125	10319	1965
126	10356	1875
127	10389	1785
128	10423	1696
129	10457	1608
130	10491	1521
131	10527	1435
132	10562	1350
133	10599	1265
134	10631	1181
135	10667	1098
136	10702	1015
137	10738	933
138	10772	852
139	10806	771
140	10840	691
141	10875	612
142	10911	534
143	10944	456
144	10978	378
145	11007	301
146	11040	225
147	11072	149
148	11106	74
149	11137	0
	13402	181
148	13437	90
149	13470	0
4043	0
801	0
1	360
147	17753	239
148	17845	119
149	17916	0

146	26968	550
147	27048	365
148	27153	182
149	27249	0
